indicator_code,ref_area,period,value,obs_status,source,wb_indicator,indicator_name
IND001,COD,2024,NA,RDC,worldbank,NA,"Population vivant en dessous du seuil international de pauvreté (PPA 2017 2,15 USD/jour)"
IND001,COD,2023,NA,RDC,worldbank,NA,"Population vivant en dessous du seuil international de pauvreté (PPA 2017 2,15 USD/jour)"
IND001,COD,2022,NA,RDC,worldbank,NA,"Population vivant en dessous du seuil international de pauvreté (PPA 2017 2,15 USD/jour)"
IND001,COD,2021,NA,RDC,worldbank,NA,"Population vivant en dessous du seuil international de pauvreté (PPA 2017 2,15 USD/jour)"
IND001,COD,2020,85.3,RDC,worldbank,NA,"Population vivant en dessous du seuil international de pauvreté (PPA 2017 2,15 USD/jour)"
IND001,COD,2019,NA,RDC,worldbank,NA,"Population vivant en dessous du seuil international de pauvreté (PPA 2017 2,15 USD/jour)"
IND001,COD,2018,NA,RDC,worldbank,NA,"Population vivant en dessous du seuil international de pauvreté (PPA 2017 2,15 USD/jour)"
IND001,COD,2017,NA,RDC,worldbank,NA,"Population vivant en dessous du seuil international de pauvreté (PPA 2017 2,15 USD/jour)"
IND001,COD,2016,NA,RDC,worldbank,NA,"Population vivant en dessous du seuil international de pauvreté (PPA 2017 2,15 USD/jour)"
IND001,COD,2015,NA,RDC,worldbank,NA,"Population vivant en dessous du seuil international de pauvreté (PPA 2017 2,15 USD/jour)"
IND001,COD,2014,NA,RDC,worldbank,NA,"Population vivant en dessous du seuil international de pauvreté (PPA 2017 2,15 USD/jour)"
IND001,COD,2013,NA,RDC,worldbank,NA,"Population vivant en dessous du seuil international de pauvreté (PPA 2017 2,15 USD/jour)"
IND001,COD,2012,78.9,RDC,worldbank,NA,"Population vivant en dessous du seuil international de pauvreté (PPA 2017 2,15 USD/jour)"
IND001,COD,2011,NA,RDC,worldbank,NA,"Population vivant en dessous du seuil international de pauvreté (PPA 2017 2,15 USD/jour)"
IND001,COD,2010,NA,RDC,worldbank,NA,"Population vivant en dessous du seuil international de pauvreté (PPA 2017 2,15 USD/jour)"
IND001,COD,2009,NA,RDC,worldbank,NA,"Population vivant en dessous du seuil international de pauvreté (PPA 2017 2,15 USD/jour)"
IND001,COD,2008,NA,RDC,worldbank,NA,"Population vivant en dessous du seuil international de pauvreté (PPA 2017 2,15 USD/jour)"
IND001,COD,2007,NA,RDC,worldbank,NA,"Population vivant en dessous du seuil international de pauvreté (PPA 2017 2,15 USD/jour)"
IND001,COD,2006,NA,RDC,worldbank,NA,"Population vivant en dessous du seuil international de pauvreté (PPA 2017 2,15 USD/jour)"
IND001,COD,2005,NA,RDC,worldbank,NA,"Population vivant en dessous du seuil international de pauvreté (PPA 2017 2,15 USD/jour)"
IND001,COD,2004,94.9,RDC,worldbank,NA,"Population vivant en dessous du seuil international de pauvreté (PPA 2017 2,15 USD/jour)"
IND001,COD,2003,NA,RDC,worldbank,NA,"Population vivant en dessous du seuil international de pauvreté (PPA 2017 2,15 USD/jour)"
IND001,COD,2002,NA,RDC,worldbank,NA,"Population vivant en dessous du seuil international de pauvreté (PPA 2017 2,15 USD/jour)"
IND001,COD,2001,NA,RDC,worldbank,NA,"Population vivant en dessous du seuil international de pauvreté (PPA 2017 2,15 USD/jour)"
IND001,COD,2000,NA,RDC,worldbank,NA,"Population vivant en dessous du seuil international de pauvreté (PPA 2017 2,15 USD/jour)"
IND001,COD,1999,NA,RDC,worldbank,NA,"Population vivant en dessous du seuil international de pauvreté (PPA 2017 2,15 USD/jour)"
IND001,COD,1998,NA,RDC,worldbank,NA,"Population vivant en dessous du seuil international de pauvreté (PPA 2017 2,15 USD/jour)"
IND001,COD,1997,NA,RDC,worldbank,NA,"Population vivant en dessous du seuil international de pauvreté (PPA 2017 2,15 USD/jour)"
IND001,COD,1996,NA,RDC,worldbank,NA,"Population vivant en dessous du seuil international de pauvreté (PPA 2017 2,15 USD/jour)"
IND001,COD,1995,NA,RDC,worldbank,NA,"Population vivant en dessous du seuil international de pauvreté (PPA 2017 2,15 USD/jour)"
IND001,COD,1994,NA,RDC,worldbank,NA,"Population vivant en dessous du seuil international de pauvreté (PPA 2017 2,15 USD/jour)"
IND001,COD,1993,NA,RDC,worldbank,NA,"Population vivant en dessous du seuil international de pauvreté (PPA 2017 2,15 USD/jour)"
IND001,COD,1992,NA,RDC,worldbank,NA,"Population vivant en dessous du seuil international de pauvreté (PPA 2017 2,15 USD/jour)"
IND001,COD,1991,NA,RDC,worldbank,NA,"Population vivant en dessous du seuil international de pauvreté (PPA 2017 2,15 USD/jour)"
IND001,COD,1990,NA,RDC,worldbank,NA,"Population vivant en dessous du seuil international de pauvreté (PPA 2017 2,15 USD/jour)"
IND001,COD,1989,NA,RDC,worldbank,NA,"Population vivant en dessous du seuil international de pauvreté (PPA 2017 2,15 USD/jour)"
IND001,COD,1988,NA,RDC,worldbank,NA,"Population vivant en dessous du seuil international de pauvreté (PPA 2017 2,15 USD/jour)"
IND001,COD,1987,NA,RDC,worldbank,NA,"Population vivant en dessous du seuil international de pauvreté (PPA 2017 2,15 USD/jour)"
IND001,COD,1986,NA,RDC,worldbank,NA,"Population vivant en dessous du seuil international de pauvreté (PPA 2017 2,15 USD/jour)"
IND001,COD,1985,NA,RDC,worldbank,NA,"Population vivant en dessous du seuil international de pauvreté (PPA 2017 2,15 USD/jour)"
IND001,COD,1984,NA,RDC,worldbank,NA,"Population vivant en dessous du seuil international de pauvreté (PPA 2017 2,15 USD/jour)"
IND001,COD,1983,NA,RDC,worldbank,NA,"Population vivant en dessous du seuil international de pauvreté (PPA 2017 2,15 USD/jour)"
